videopath,source,caption,neg_caption,youtube_key,split,misalignment
k600_val_7Hh4h3KvhIM_000078_000088,vatex,A pitcher and catcher throwing pitches back and forth to each other.,A pitcher and catcher throwing pitches back and forth to each other before they started a game,,train,flip
msr-vtt_TrainValVideo_video4683,msr-vtt,close calls in various sports set to melancholy music,close calls in various sports set to happy music,DZ2RcCwo2Xo,train,flip
k600_val_tVG1cCloXuM_000004_000014,vatex,Toddler  pushing a shopping cart while his grandmother helps to keep it straight.,Toddler  pushing a shopping cart while his grandmother helps to keep it straight and then the grandmother helps to keep it straight,,train,flip
msr-vtt_TrainValVideo_video3700,msr-vtt,a lady is chopping onions and celery for a recipe,"a lady is chopping onions and celery for a recipe, then she is chopping carrots",4g0GCgHjqdQ,train,flip
k600_val_Ywdmwgm3GPE_000024_000034,vatex,A little boy with a pacifier in his mouth is dancing to music coming from a computer speaker.,A little boy with a pacifier in his mouth is walking to music coming from a computer speaker.,,train,action
k600_val_cSFw7vm71XU_000073_000083,vatex,Women practice the triple jump over s series of obstacles to make their jumps higher.,Women practice the triple jump over a series of obstacles to make their jumps shorter.,,train,flip
k600_val_pJo148RDaeU_000045_000055,vatex,A man dragged a cable into a house and they started sanding the floor,A man started sanding the floor and then dragged a cable into a house,,train,flip
msr-vtt_TrainValVideo_video2595,msr-vtt,the man is playing an alligator and they are showing how the film is made such as the music,the man is playing an alligator and they are showing how the film is made such as the music and then the man is playing an alligator,SR5jpAvyHz4,train,flip
msr-vtt_TrainValVideo_video5793,msr-vtt,a girl is on stage and very happy and there are judeges its probley for a singing comection,a girl is on stage and very happy and there are judeges its probley for a dancing comection,jN3VhLC8JU8,train,action
msr-vtt_TrainValVideo_video6490,msr-vtt,a woman talking on talkshow,a woman talking on a podcast,Ay7_5Qq5WCc,train,action
msr-vtt_TrainValVideo_video6109,msr-vtt,people dance and ride motorcyles and buggies in the desert while a woman sings in front of a green screen,People dance and ride motorcyles and buggies in the desert after a woman sings in front of a green screen,uO59tfQ2TbA,train,flip
k600_val_EbRJ9qx31AM_000016_000026,vatex,A woman in striped socks trying to be seductive while smoking a cigarette.,A woman in striped socks tries to be seductive after smoking a cigarette,,train,flip
k600_val_7JIc6C6ZYfE_000068_000078,vatex,A man is using fire to weld a hollow glass pipe.,A man is using fire to burn a hollow glass pipe.,,train,action
msr-vtt_TrainValVideo_video3164,msr-vtt,a man is cracking an egg and then separating the egg yolk from the egg whites,a man is cracking an egg and then mixing the egg yolk with the egg whites,wqfXKhIzSNo,train,action
k600_val_qNAWl0zAO3w_000002_000012,vatex,A lady in the yoga outfit is doing a double leg stretch with a gymball.,A lady in the yoga outfit is doing a single leg stretch with a gymball.,,train,action
tempo_videos_5786,tempo,the camera moves away then focuses on the branch.,the camera moves towards then focuses on the branch.,,train,action
msr-vtt_TrainValVideo_video432,msr-vtt,a man emerges from a bus to eat at a roadside diner,a man eats at a roadside diner before emerging from a bus,sfWZAMvps7k,train,flip
tempo_videos_4486,tempo,the man is shown before he smokes his cigarette,the man is shown after he smokes his cigarette,,train,action
k600_val_WvrTm5camjE_000002_000012,vatex,A man is showing off his skills of playing a trumpet.,A man is showing off his skills of playing a guitar.,,train,action
k600_val_aWz9H0jTv3c_000024_000034,vatex,A man screams in exertion while competing against a second man at squash.,A man screams in exertion while competing against a second man at squash after he loses the game,,train,flip
msr-vtt_TrainValVideo_video2652,msr-vtt,a man is commentating while playing minecraft,A man is playing minecraft before commentating,6fPmBYdNRBY,train,flip
k600_val_d5t-haBwYhw_000053_000063,vatex,Two people practice dancing the salsa in a large open room.,Two people practice dancing the cha cha in a large open room.,,train,action
k600_val_EL2PqE3NzKU_000000_000010,vatex,A white fluffy dog shakes hands with a woman who gives him the command to do so.,"A white fluffy dog shakes hands with a woman who gives him the command to do so, then the woman gives him the command to do so",,train,flip
k600_val_03SGFTLtuTM_000125_000135,vatex,A man sitting in the drivers side seat of a boat and explaining what he likes most about boating.,"A man sitting in the drivers side seat of a boat explaining what he likes most about boating, then he drives the boat",,train,flip
k600_val_ZLCntgQ9KHc_000002_000012,vatex,A man is chopping wood with an ax while his daughter films him.,A man films his daughter chopping wood with an ax,,train,flip
tempo_videos_1499,tempo,the woman in purple blouse looks at the cake before she starts to cut the cake.,the woman in purple blouse starts to cut the cake before she looks at the cake,,train,flip
k600_val_KtK-L3LUh7U_000063_000073,vatex,A man is riding a unicycle on the streets on his way to work.,A man is riding a unicycle on the streets on his way to the park.,,train,action
k600_val_oOU3UGPmunw_000010_000020,vatex,A young boy gets his haircut in a high chair.,A young boy gets his teeth cleaned in a high chair.,,train,action
tempo_videos_8134,tempo,"a couple with a child pass, then children run and pass the camera.","a couple with a child pass, then children walk and pass the camera.",,train,action
msr-vtt_TrainValVideo_video400,msr-vtt,some pop singer in black dress and specs sings while all the dancers start the dancing,some pop singer in black dress and specs starts the dancing while all the dancers sing,u4VOMDKrThM,train,flip
k600_val_RAmkFqPXKF4_000003_000013,vatex,A man hits a golf ball that is laying on another man and hits him in the process,A man hits a golf ball that is laying on another man and misses him in the process,,train,flip
k600_val_gPvhdLTEaEk_000079_000089,vatex,A chef is cooking food using carrots and chicken while talking about peanut oil,A chef is talking about peanut oil before cooking food using carrots and chicken,,train,flip
msr-vtt_TrainValVideo_video2866,msr-vtt,a bowl contains some fruits and a person add some salts and orange juice,A bowl contains some fruits and a person add some salts and orange juice then a person add some fruits,v64E8CvfbWU,train,flip
tempo_videos_4783,tempo,"after the lady in the towel exits to the right, another lady follows her",a man is taking a band aid off his arm,,train,action
k600_val_IMpZIh6nprw_000099_000109,vatex,A man is seen mopping the floor while a voice is explaining the process in the background.,A man is seen mopping the floor after a voice is explaining the process in the background,,train,flip
k600_val_fnWpgbDgUKI_000003_000013,vatex,A man is making elaborate drum beats with his fingertips.,A man is making elaborate drum beats with a drum stick.,,train,action
k600_val_02NYzr94OW4_000000_000010,vatex,A person is stuffing a sausage casing using an extruder.,A person is stuffing a sausage casing using a spoon.,,train,action
tempo_videos_9523,tempo,a hand on right eats chocolate after a man in black dips something in chocolate,a hand on right eats chocolate after a man in black dips something in water,,train,action
k600_val_5iA2AC1SZO4_000001_000011,vatex,A women running fast to perform a long jump it doesnt look like she got very far.,A women does not run fast to perform a long jump it doesnt look like she got very far.,,train,flip
k600_val_3ob3NvTp-YA_000199_000209,vatex,A boy in a gymnasium performs a handstand and another student.,A boy in a gymnasium performs a handstand and another student walks by,,train,flip
k600_val_x6WcZGGNWfc_000016_000026,vatex,Several parents are accompanying their children on an Easter egg hunt.,Several children are accompanying their parents on an Easter egg hunt.,,train,action
k600_val_yFFSen0o9xo_000002_000012,vatex,"A police officer is shown a segway, while a man talks about keeping the population safe from moose.","A police officer talks about keeping the population safe from moose, while a man is shown a segway",,train,flip
k600_val_cuoqBzkii1Q_000094_000104,vatex,A boxer is receiving a pep talk from his trainer before sparring in the ring with the opponent.,A boxer is sparring in the ring with the opponent before receiving a pep talk from his trainer,,train,flip
k600_val_56t6DJRXRxc_000003_000013,vatex,"A woman is holding a small baby in her arms, and when she talks to the baby it cries.","A woman is holding a small baby in her arms, and when the baby cries, she talks to it.",,train,flip
msr-vtt_TrainValVideo_video3082,msr-vtt,a commentator is talking about a basketball players jumping,a commentator is talking about a basketball player jumping before a basketball player jumps,XFYxLN5yvwg,train,flip
msr-vtt_TrainValVideo_video3858,msr-vtt,a scene of pirate captain inspiring his soldier pirates from the movie  pirates of the caribbean,a scene of pirate captain scaring his soldier pirates from the movie  pirates of the caribbean,2FcCuGUdMLA,train,action
k600_val_zI42eGmp4Q0_000119_000129,vatex,A man and a woman are dancing very cheerfully on the dance floor.,A man and a woman are sitting very cheerfully on the dance floor.,,train,action
msr-vtt_TrainValVideo_video1440,msr-vtt,a person is folding a piece of paper into sections,a person is unfolding a piece of paper into sections,nF1lWCf2NjY,train,action
k600_val_nDCBJOJWCmU_000205_000215,vatex,A man talks and raises a tennis racket repeatedly as another man stands and watches.,A man talks and raises a baseball bat repeatedly as another man stands and watches.,,train,action
k600_val_w3agQK6vn3s_000018_000028,vatex,Three young men are doing cartwheels on a large mat in front of a big audience.,Three young men are doing back flips on a large mat in front of a big audience.,,train,action
k600_val_9RKVtmshPrg_000014_000024,vatex,A young man jumps off a dock to catch a frisbee.,A young man catches a frisbee before jumping off a dock,,train,flip
msr-vtt_TrainValVideo_video589,msr-vtt,a man talks about marginalization and abuse,a man is silent about marginalization and abuse,c2tOp7OxyQ8,train,action
msr-vtt_TrainValVideo_video5426,msr-vtt,a bartender demonstrates how to make a cocktail that originated in the bar he works in,a bartender demonstrates how to make a cocktail that originated in the bar he wants to work in,APwdZXzkUEw,train,action
k600_val_VKF6Mjox0HY_000010_000020,vatex,A girl is screaming while riding a mechanical bull as others are heard laughing.,A girl is heard laughing while riding a mechanical bull as others are screaming,,train,flip
k600_val_7VOMbEzmjg4_000008_000018,vatex,A man is walking on a tight rope over a very high cliff.,A man is jumping on a tight rope over a very high cliff.,,train,action
k600_val_hvXq6zjr0vg_000093_000103,vatex,Two young men jump off building and over obstacles while doing free walking.,Two young men do free walking over obstacles before jumping off a building,,train,flip
k600_val_GlUhlP8JIac_000129_000139,vatex,"A person tears a piece of paper, and then foilds the paper into something.","A person foilds the paper into something, and then tears a piece of paper",,train,flip
k600_val_Q3qThfNE6qc_000084_000094,vatex,A long pipe fitted to a vacuum is being used to suck something off a second story roof of a brick house.,A long pipe fitted to a vacuum is being used to blow something off a second story roof of a brick house.,,train,action
msr-vtt_TrainValVideo_video5888,msr-vtt,a green bowl with strip steak that a guy is going to cook in a wok,a green bowl with strip steak that a guy is going to cook in a skillet,ZbdNFWvogDA,train,action
msr-vtt_TrainValVideo_video1528,msr-vtt,a man is cooking in a 10non stick pan on medium high heat,a man is cleaning a 10non stick pan on medium high heat,z2fp_rq7X2U,train,action
msr-vtt_TrainValVideo_video5628,msr-vtt,a minecraft player discusses his team,a minecraft player plays with his team,rBFjmR2QdBk,train,action
k600_val_bWH4GirJDno_000115_000125,vatex,Two teams are in a court area playing dodge ball.,Two teams are in a court area playing basketball.,,train,action
k600_val_Lj3wfxExD-s_000184_000194,vatex,Teenagers in a band play various instruments together on a stage in front of an audience.,Teenagers in a band play various instruments together in a forest.,,train,action
k600_val_z3T07IFhvcY_000397_000407,vatex,Two girls are jumping rope on stage while three other girls are adjusting a jump rope.,Two girls are adjusting a jump rope while three other girls are jumping rope on stage,,train,flip
tempo_videos_11581,tempo,the camera zooms in then shows the building.,the camera zooms out then shows the building.,,train,action
k600_val_skN2MiCW14k_000047_000057,vatex,A woman stands before a screening and gestures to a weather forecast.,A woman gestures to a weather forecast before standing before a screening,,train,flip
k600_val_YLuft2I6YYc_000092_000102,vatex,A person using a gopro to record themselves kayaking in the rapids.,A person using a gopro to record themselves swimming in the rapids.,,train,action
k600_val_x3ruEMUxtAA_000005_000015,vatex,someone is putting together a flower table arrangement with colorful roses.,someone is throwing together a flower table arrangement with colorful roses,,train,action
k600_val_-lPaefDR9mw_000010_000020,vatex,A man with face mask is standing before the gun and break the stick,A man with face mask is breaking the stick before standing before the gun,,train,flip
k600_val_v7Sj2Tv-jpE_000576_000586,vatex,A young boy and girl are sitting alongside each other talking about the snacks they are eating.,A young boy and girl are sitting alongside each other eating the snacks they are talking about,,train,flip
k600_val_Q3qThfNE6qc_000084_000094,vatex,A man using a large leaf gutter cleaner pulls a creature from the gutters.,A man using a large leaf gutter cleaner throws a creature from the gutters.,,train,action
msr-vtt_TrainValVideo_video3182,msr-vtt,a woman is looking and talking at a cute little baby,A woman is looking and talking at a cute little baby before she picks it up,vxob3QyHgck,train,flip
k600_val_yUb9zN3Nkbg_000007_000017,vatex,A group of kids are playing football together and people are cheering for them.,A group of kids are playing football together before people are cheering for them,,train,flip
msr-vtt_TrainValVideo_video2168,msr-vtt,an infomercial with a female talking about a baby stroller,an infomercial with a female talking about a baby car seat,iZdrw9CiRt8,train,action
k600_val_sIn7Te48YL4_000158_000168,vatex,A team in pink steals the ball from a team in black to score a goal in a game.,"A team in pink scores a goal in a game, then steals the ball from a team in black",,train,flip
msr-vtt_TrainValVideo_video688,msr-vtt,a 3d game play scene,a 3d game play scene with a person,m3_jijvr__A,train,action
k600_val_f2kZQYa-5Z4_000211_000221,vatex,A girl finds a easter egg full of candy and finds another one.,A girl finds another easter egg full of candy and finds a first one.,,train,flip
k600_val_e9xwkPTkPRg_000008_000018,vatex,A boy is attempting to fold a piece of cloth on his carpet.,A boy is attempting to iron a piece of cloth on his carpet.,,train,action
k600_val_bhLH4FmbDXQ_000006_000016,vatex,A man is sitting in a chair performing a song on a ukulele and there is feedback on the sound system.,A man is sitting in a chair performing a song on a ukulele before there is feedback on the sound system,,train,flip
msr-vtt_TrainValVideo_video3019,msr-vtt,little kids sing a song in concert,little kids dance a song in concert,9h6Oozp28BA,train,action
msr-vtt_TrainValVideo_video5636,msr-vtt,a woman is concluding her video describing how to keep updated with her fish videos and indicates links that can be found on her page,a woman is beginning her video describing how to keep updated with her fish videos and indicates links that can be found on her page,tmKkuf9_5CU,train,action
k600_val_swuIzEjpmak_000340_000350,vatex,Two men speak about coaching while a dozen young men play basketball on a court.,Two men speak about coaching after a dozen young men play basketball on a court,,train,flip
k600_val_-Ovwq0kVUx4_000002_000012,vatex,"A baby is sitting on a persons lap and is not amused by paper ripping,",A baby is sitting on a persons lap and is amused by paper ripping,,train,flip
k600_val_zI42eGmp4Q0_000119_000129,vatex,A couple dance to upbeat music while other couples sit on the sidelines watching.,A couple sit on the sidelines watching other couples dance to upbeat music,,train,flip
msr-vtt_TrainValVideo_video1977,msr-vtt,a person is petting dogs and cats,A person is petting dogs and cats after they are petting a dog,5xpvEuOxyxE,train,flip
k600_val_5GhAmTU8Fq8_000000_000010,vatex,A baby keeps opening his mouth waiting to be fed baby food by a woman.,A baby is fed baby food by a woman before he opens his mouth,,train,flip
msr-vtt_TrainValVideo_video4751,msr-vtt,a girl is taking dress from the cup board,a girl is putting dress in the cup board,ya_Va1PU_jM,train,action
tempo_videos_4454,tempo,man in blue lower then raises other arm after fisrt time person in blue shirt plays air drums,man in blue lower then raises other arm after fisrt time person in blue shirt plays air guitar,,train,action
k600_val_AYcsAYm3Pic_000028_000038,vatex,A woman whirls around several times before letting fly a disc.,A woman lets fly a disc before whirling around several times,,train,flip
tempo_videos_2029,tempo,the wind blows before the branches are seen,the branches are seen before the wind blows,,train,flip
k600_val_s8WpxLiosFA_000085_000095,vatex,A baby shakes its head from side to side and amuses its mother.,A baby shakes its head from side to side and annoys its mother.,,train,action
k600_val_RKmcSDdJehg_000001_000011,vatex,A toddler blows his nose before he prepares to sing a song with his mother.,A toddler prepares to sing a song with his mother before he blows his nose,,train,flip
msr-vtt_TrainValVideo_video6736,msr-vtt,several different models of cars are on a rotating pedestal,Several different models of cars are on a rotating pedestal and then the pedestal is rotated,CHSCH4KnMB4,train,flip
msr-vtt_TrainValVideo_video4888,msr-vtt,a man observes the reaction of a monkey as he offers it some ice cubes to see what it does,"a man observes the reaction of a monkey as he offers it some ice cubes to see what it does, then he offers it some ice cubes",yFcXJAP851I,train,flip
msr-vtt_TrainValVideo_video171,msr-vtt,a lady talking of something about the cinema theatre,a lady listening to something about the cinema theatre,_egk1X0jMUo,train,action
k600_val_SGihuMgT4wE_000011_000021,vatex,A man is massaging a women's leg with oil and is explaining how and why to do it.,A man is explaining how and why to massage a women's leg with oil before he massages her leg,,train,flip
k600_val_WwyW1T8IXmY_000004_000014,vatex,"A young girl starts to play a tune on the recorder, then stops and waves it around",A young girl waves it around and then starts to play a tune on the recorder,,train,flip
tempo_videos_1785,tempo,the man fiddles with gears before a man adjusts some things on the dashboard of an old car.,A man adjusts some things on the dashboard of an old car before a man fiddles with gears,,train,flip
k600_val_ONMjPkk2x0Y_000000_000010,vatex,A person jumps upon a snowy hill while a group watches and laughs.,A person rolls upon a snowy hill while a group watches and laughs.,,train,action
msr-vtt_TrainValVideo_video2298,msr-vtt,a man discusses with another man how he had to make a jet engine work with a car s driver,a man discusses with another man how he had to make a car s driver work with a jet engine,10q9_pB6unU,train,flip
tempo_videos_1904,tempo,the cats sniffs the wood then humps its back.,the cats humps its back then sniffs the wood,,train,flip
k600_val_LR2o1-HkqRE_000003_000013,vatex,A lady is trying to ride a bicycle in the hall of the building,A lady is trying to ride a horse in the hall of the building,,train,action
k600_val_V-IqR1THKr4_000015_000025,vatex,The little girls are having fun dancing in the room while mom cheers.,The little girls are having fun dancing in the room while mom cheers and mom dances after the girls dance,,train,flip
msr-vtt_TrainValVideo_video1951,msr-vtt,a man talks about his hunger for boat rides,a man talks about his hunger for pizza,5uXe4rzIPzE,train,action
k600_val_r8bZcy0V-A8_000402_000412,vatex,A group of kids jumping rope at a jump rope competition.,A group of kids running at a jump rope competition.,,train,action
tempo_videos_696,tempo,"a child chases a ball and picks it up, then kicks it back.","a child chases a ball and kicks it back, then picks it up",,train,flip
k600_val_YoMAZTg2Nrk_000014_000024,vatex,Someone wearing a Halloween mask is sitting on a sofa trying to eat chips.,Someone wearing a Halloween mask is sitting on a sofa trying to eat a candy bar.,,train,action
msr-vtt_TrainValVideo_video3008,msr-vtt,a man talks about how to help students learn easily,a man talks about how to stop students learning easily,DB9pKkZoJDc,train,action
k600_val_mF-6ouVNXIs_000019_000029,vatex,A man is rowing a boat across a quiet lake  while others are looking on.,A man is swimming across a quiet lake  while others are looking on.,,train,action
k600_val_qxtkjzhD3RU_000034_000044,vatex,a person is marking a line on an old shoe to repair it.,a person is marking a line on an old shoe to paint it.,,train,action
msr-vtt_TrainValVideo_video5594,msr-vtt,a group of kids are talking on a show,a group of kids are singing on a show,L1o90_YmtvI,train,action
k600_val_pu3Jg9On27g_000912_000922,vatex,A professional diver does multiple flips off of a diving board in front of judges.,A professional diver does multiple flips in front of judges before getting off of the diving board,,train,flip
k600_val_KwdJFJJD8HY_000016_000026,vatex,A guy wearing glasses smiles while eating a sandwich as people in background chuckle.,"A guy wearing glasses smiles while eating a sandwich as people in background chuckle, and then he stands up and walks away",,train,flip
msr-vtt_TrainValVideo_video4729,msr-vtt,a man adds olive oil to a dish of choppedonions then the man adds the red meat into the dish bone side in,a man adds the red meat into the dish bone side in then the man adds olive oil to a dish of chopped onions,Ul7jOIRwflg,train,flip
tempo_videos_1440,tempo,the nurse cleans and bandages the injection site after the baby gets a shot in the leg.,the nurse cleans and bandages the injection site before the baby gets a shot in the leg,,train,flip
k600_val_eMlfRt6PFGc_000309_000319,vatex,An instructor teaching his student how to do martial arts.,An instructor teaching his student how to do ballet.,,train,action
k600_val_7REDW12JLyM_000048_000058,vatex,A kid is blowing out candles while a group of people are cheering.,A kid is blowing out candles after a group of people are cheering.,,train,flip
msr-vtt_TrainValVideo_video2069,msr-vtt,a man in a gray suit is giving a political speech on television,a man in a gray suit is giving a sermon on television,xJCz0O0yybU,train,action
k600_val_QYx2LdDz82M_000004_000014,vatex,A woman rides a mechanical bull outdoors while cheered on by a friend.,A woman rides a mechanical bull indoors while cheered on by a friend,,train,flip
k600_val_w9G7CpkBBM0_000000_000010,vatex,"A girl is eating what looks to be a burger of sort and takes it away from her mouth to reveal stuck all over her teeth; its obvious she loves the burger, too.","A girl is eating what looks to be a salad of sort and takes it away from her mouth to reveal stuck all over her teeth; its obvious she loves the salad, too.",,train,action
k600_val_dFDdr9zxfzc_000101_000111,vatex,A couple at a dance competition dancing very eloquently.,A couple at a dance competition dancing very awkwardly.,,train,action
k600_val_jW857U3IEaU_000018_000028,vatex,A person in a life jacket rides a wave runner around in circles with another jet ski in the background.,A person in a life jacket rides a wave runner around in circles with another jet ski in the background and then rides a jet ski,,train,flip
k600_val_LmwHuxBcD20_000054_000064,vatex,Young men are dressed in suits and top hats and dancing and singing on a stage.,Young men are dressed in suits and top hats and dancing and singing in a field.,,train,action
k600_val_q7tvMXsXCXQ_000001_000011,vatex,A football player hikes the ball to the quarterback who throws a touchdown.,A football player throws a touchdown to the quarterback who hikes the ball,,train,flip
k600_val_BulryAJv1oA_000001_000011,vatex,A guy kicking a made field goal through the uprights.,A guy throwing a made field goal through the uprights.,,train,action
k600_val_LxwtZ6YMyNk_000103_000113,vatex,A man is playing an accordion in a bar while other people clap along.,People in the bar clap along after the man stops playing the accordion,,train,flip
k600_val_EKzhNFxJQ4Q_000007_000017,vatex,A man is cheering on while his friends take turns diving into the water.,A man is diving into the water while his friends cheer on,,train,flip
msr-vtt_TrainValVideo_video6141,msr-vtt,women keeping her hands on shoulder of a guy playing trumpet,women keeping her hands on shoulder of a guy playing guitar,yv103eZeuyo,train,action
k600_val_ns9A-roIOU4_000399_000409,vatex,Men in shorts hit Tennis balls back and forth to each other on a hardwood floor at the gym.,Men in shorts hit soccer balls back and forth to each other on a hardwood floor at the gym.,,train,action
k600_val_DCMjjC63AD4_000031_000041,vatex,Man in a white shirt demonstrates how to mount and ride a unicycle while giving instructions.,Man in a white shirt demonstrates how to mount and ride a unicycle while doing tricks.,,train,action
tempo_videos_2909,tempo,the camera pans before the musicians are seen,The camera pans after the musicians are seen,,train,flip
msr-vtt_TrainValVideo_video2797,msr-vtt,the village people sing the ymca and dance,the village people dance and then sing the ymca,CS9OO0S5w2k,train,flip
k600_val_IbY7EbowT74_000208_000218,vatex,A man finishes shaving a goat while onlookers give praise.,Onlookers give praise before a man finishes shaving a goat,,train,flip
k600_val_ee6nRkt3sF4_000133_000143,vatex,a man sits on the back of an alligator and talks to some people,A man talks to some people before sitting on the back of an alligator,,train,flip
msr-vtt_TrainValVideo_video6124,msr-vtt,a woman talks about her child s condition as it improves rapidly,a woman talks about her child s condition as it improves slowly,UNhvj6g8MWc,train,flip
msr-vtt_TrainValVideo_video6491,msr-vtt,luigi is seen standing next to a wall and getting hit by rocks when the rocks pass he runs to the top,luigi is seen standing next to a wall and getting hit by rocks when the rocks pass he runs to the bottom,-TW9PNZgnw8,train,action
k600_val_sBPBUV2QxPU_000025_000035,vatex,A black belt in martial arts does a flying kick.,A black belt in martial arts does a flying punch.,,train,action
msr-vtt_TrainValVideo_video783,msr-vtt,a man is demonstrating an experiment involving a microwave,a man is demonstrating an experiment involving a toaster oven,-Bcfp5_8bz4,train,action
k600_val_FC9yd-arj7A_000077_000087,vatex,Someone is driving an old red tractor slowly accross a field,Someone is driving an old red tractor quickly across a field,,train,action
msr-vtt_TrainValVideo_video6899,msr-vtt,a woman enters a scene and meets a man who is stunningly attractive,a woman enters a scene and meets a man who is not stunningly attractive,8KsvRCI32b0,train,action
msr-vtt_TrainValVideo_video3679,msr-vtt,an advertisement for a test drive showing the interior of a vehicle,an advertisement for a test drive showing the exterior of a vehicle,i2rpEZ3438g,train,action
k600_val_mAQaOGOmf4k_000004_000014,vatex,Three girls dance a jig in their living room as another woman sits on the couch and looks on.,Three girls sit on the couch and looks on as another woman dance a jig in their living room,,train,flip
k600_val_x6WcZGGNWfc_000016_000026,vatex,A little kid tries to eat something in a plastic bag while his parent carries a bucket.,The little kid carries a bucket while his parent tries to eat something in a plastic bag,,train,flip
k600_val_RyTgXDzGGVo_000004_000014,vatex,A man is showing how to cut a pineapple step by step.,A man is eating a pineapple step by step.,,train,action
k600_val_Lr5PXWOYlEY_000149_000159,vatex,"A woman explains how to make scrambled eggs, while her daughter talks in the background.",A woman talks in the background while her daughter explains how to make scrambled eggs,,train,flip
k600_val_bhLH4FmbDXQ_000006_000016,vatex,"On a stage, a man is playing the guitar for a laughing audience.","On a stage, a man is laughing for a guitar playing audience",,train,flip
k600_val_F2iUISyMCNs_000002_000012,vatex,"A man and a woman are arm wrestling, the woman wins the match","A man and a woman are arm wrestling, the man wins the match",,train,flip
k600_val_yX4IfOAat4s_000001_000011,vatex,"Two women are sitting with accordions preparing to play when one woman says go, the other woman stops her because she doesn't understand.",Two women are sitting with accordions preparing to play when one woman stops her because she doesn't understand and then the other woman says go,,train,flip
k600_val_KiHx-tTKwXk_000002_000012,vatex,A man turns on a floor shining machine and loses control of it,A man loses control of a floor shining machine and then turns it on,,train,flip
tempo_videos_8827,tempo,the lady starts to describe the thing the man is holding then starts rolling her hands backwards,the lady starts to describe the thing the man is holding then starts rolling her eyes backwards,,train,action
k600_val_RgtipEqA7ZA_000046_000056,vatex,A person rubbing the bottom of their foot before placing it on carpet.,A person rubbing the bottom of their foot before placing it on the floor.,,train,action
msr-vtt_TrainValVideo_video188,msr-vtt,a young black man plays basketball and a woman shakes a girls hand,A young black man shakes a girls hand and a woman plays basketball,sUXfjzzHO5g,train,flip
tempo_videos_1804,tempo,a head appears on the lower right before someone walks by in the corner of the screen.,a head appears on the lower right after someone walks by in the corner of the screen,,train,flip
k600_val_uTqS0rpvmFY_000217_000227,vatex,A person plays a piano using both hands to play different keys.,A person plays a piano using both hands to play the same keys.,,train,action
k600_val_F4ib2yyQ4Zc_000000_000010,vatex,A man is crowd surfing on top of the audience.,A man is crowd surfing on top of the stage.,,train,action
msr-vtt_TrainValVideo_video1292,msr-vtt,a guy has a humorous argument with a friend,a guy has a humorous argument with a friend after the friend makes a joke,-TGj227OVKY,train,flip
tempo_videos_2986,tempo,the baby puts the toy in the mouth then plays with it,the baby plays with the toy then puts it in the mouth,,train,flip
msr-vtt_TrainValVideo_video3238,msr-vtt,some fish is washed then soya sauce is put into it along with some water and garlic,Soya sauce is put into the fish then the fish is washed along with some water and garlic,_TpmH0XF_dE,train,flip
k600_val_K7918-4cf3U_000016_000026,vatex,A athlete successfully completes a pole vault at a track and field event and people cheer him on.,A athlete fails to complete a pole vault at a track and field event and people cheer him on,,train,flip
k600_val_81n4e4pIXn0_000008_000018,vatex,A little girl showing how she can do a cart wheel.,A little girl showing how she can do a handstand.,,train,action
k600_val_zpFaOgMCX10_000008_000018,vatex,"A person flattens, folds, flips and creases a fancy table napkin.","A person creases, flips and folds a fancy table napkin before flattening it",,train,flip
k600_val_LRV8OlZjFyw_000050_000060,vatex,A man is juggling a ball on his arms from side to side.,A man is juggling a ball on his head from side to side.,,train,action
msr-vtt_TrainValVideo_video4493,msr-vtt,it was a fashion show where all the models are doing ramp walk with their costumes,it was a fashion show where all the models are doing ramp walk with their costumes before they put on their costumes,xhQk2wNIfWw,train,flip
msr-vtt_TrainValVideo_video1731,msr-vtt,a girl is dancing with a guy and a guy is talking to another guy about how great she is,A girl is talking to another guy about how great she is and a guy is dancing with her,TASGl0_jnjU,train,flip
tempo_videos_9969,tempo,the top of the tree disappears then the clouds pass overhead,the top of the tree reappears then the clouds pass overhead,,train,action
k600_val_d3wAbcqv07c_000076_000086,vatex,A man does a pushup and talks to the camera afterwards.,A man talks to the camera and then does a pushup,,train,flip
tempo_videos_1728,tempo,the camera pans over a body of water before panning to a man standing nearby.,the camera pans to a man standing nearby before panning over a body of water,,train,flip
msr-vtt_TrainValVideo_video499,msr-vtt,an old man who is a industrialists is talking about the making of benz car and the materials used in this car are engineering materials,an old man who is a industrialists is talking about the making of benz car and the materials used in this car are not engineering materials,yZnWL1Z3tFA,train,flip
k600_val_MT5aNXtyT8U_000029_000039,vatex,"A man has a strip of tape on his chest, another person pulls it off and he screams.","A man has a strip of tape on his chest, another person puts it on and he screams.",,train,action
k600_val_9av9efQ8gZA_000026_000036,vatex,A team of dogs are pulling a sled in front of a crowd of people.,A team of dogs are pushing a sled in front of a crowd of people.,,train,action
k600_val_QOYJmWzXmRc_000182_000192,vatex,A person dips food in flour and puts it on a plate as someone speaks a foreign language.,A person puts food on a plate as someone speaks a foreign language and then dips food in flour,,train,flip
k600_val_PLLIbYuVLsU_000030_000040,vatex,A man dances and does flips as other's watch and music plays in the background.,"A man does flips as other's watch and music plays in the background, and then dances",,train,flip
tempo_videos_535,tempo,the camera zooms in and out again before a man with a blue baseball cap appears.,A man with a blue baseball cap appears before the camera zooms in and out again,,train,flip
